SentimentDate,Subject,AvgRawSentiment,NormalizedSentimentScore
2024-12-06,james lankford,,
2024-12-06,jerry moran,,
2024-12-06,lincoln chafee,,
2024-12-06,martin heinrich,,
2024-12-07,alex mooney,,
2024-12-07,deb fischer,,
2024-12-07,dianne feinstein,,
2024-12-07,ed markey,,
2024-12-07,evan bayh,,
2024-12-07,jon tester,,
2024-12-07,martin heinrich,,
2024-12-08,ed markey,,
2024-12-08,evan bayh,,
2024-12-08,jon tester,,
2024-12-08,laphonza butler,,
2024-12-08,martin heinrich,,
2024-12-08,roger wicker,,
2024-12-09,alex mooney,,
2024-12-09,carper,,
2024-12-09,ed markey,,
2024-12-09,evan bayh,,
2024-12-09,frank lautenberg,,
2024-12-09,jerry moran,,
2024-12-09,jon tester,,
2024-12-09,laphonza butler,,
2024-12-09,martin heinrich,,
2024-12-09,roger wicker,,
2024-12-09,steve daines,,
2024-12-10,carper,,
2024-12-10,charles grassley,,
2024-12-10,dianne feinstein,,
2024-12-10,ed markey,,
2024-12-10,eric schmitt,,
2024-12-10,jim risch,,
2024-12-10,jon tester,,
2024-12-10,laphonza butler,,
2024-12-10,martin heinrich,,
2024-12-10,pete ricketts,,
2024-12-10,steve daines,,
2024-12-10,ted budd,,
2024-12-11,alex mooney,,
2024-12-11,dave mccormick,,
2024-12-11,deb fischer,,
2024-12-11,ed markey,,
2024-12-11,james lankford,,
2024-12-11,jon tester,,
2024-12-11,kyrsten sinema,,
2024-12-11,laphonza butler,,
2024-12-11,lincoln chafee,,
2024-12-11,martin heinrich,,
2024-12-11,steve daines,,
2024-12-12,alex mooney,,
2024-12-12,ben sasse,,
2024-12-12,chris coons,,
2024-12-12,dave mccormick,,
2024-12-12,deb fischer,,
2024-12-12,james lankford,,
2024-12-12,john barrasso,,
2024-12-12,kyrsten sinema,,
2024-12-12,lincoln chafee,,
2024-12-12,maria cantwell,,
2024-12-12,martin heinrich,,
2024-12-12,roger wicker,,
2024-12-13,alex mooney,,
2024-12-13,ben sasse,,
2024-12-13,chris coons,,
